t,src,nbr,cluster,attack_type,attack_active,B,C,S,H,rho,trust_before,action,trust_after,pdr,delay_norm,qos,reward,reward_base,gray_penalty,onoff_penalty,collusion_penalty,pred_malicious,true_malicious,route_score,selected_next_hop
2,0,35,0,none,0,0.9166666865348816,0.8991811871528625,0.0,0.0,0.0,0.55,2,0.6000000000000001,1.0,0.10005792950380005,0.96998262114886,0.96497972467367,0.96497972467367,0.0,0.0,0.0,0,0,0.639493917402101,35
2,0,39,0,none,0,0.9166666865348816,0.9238075017929077,0.0,0.0,0.0,0.5,2,0.55,1.0,0.04228516516078379,0.9873144504517648,0.9852001921937257,0.9852001921937257,0.0,0.0,0.0,0,0,0.6205600576581176,35
2,1,2,0,none,0,0.9166666865348816,0.9152156114578247,0.0,0.07856742292642593,0.0,0.45,0,0.4,1.0,0.0730842345908526,0.9780747296227441,0.9744205178932016,0.9744205178932016,0.0,0.0,0.0,1,0,0.5423261553679604,24
2,1,24,0,none,0,0.9166666865348816,0.9114376902580261,0.0,0.07856742292642593,0.0,0.45,1,0.45,1.0,0.022880714991627145,0.9931357855025118,0.9919917497529305,0.9919917497529305,0.0,0.0,0.0,1,0,0.5725975249258791,24
2,1,29,0,none,0,0.8333333134651184,0.8936253190040588,0.0,0.03928371146321297,0.5,0.6000000000000001,0,0.55,0.9,0.08937180963587565,0.9031884571092372,0.8687198666274435,0.8687198666274435,0.0,0.0,0.0,0,0,0.5686159590941633,24
2,2,1,0,none,0,0.9166666865348816,0.8989741206169128,0.0,0.0,0.0,0.45,2,0.5,1.0,0.09089487766930196,0.9727315366992093,0.9681867928157443,0.9681867928157443,0.0,0.0,0.0,0,0,0.5904560378447232,24
2,2,13,0,collusion,1,0.0833333358168602,0.8094010949134827,0.0,0.13608276844024658,0.0,0.55,0,0.5,0.0,0.33262702719597415,0.20021189184120775,-0.23267739568829476,-0.11641945951859094,0.14999999751647317,0.016082768440246586,0.0,0,1,0.3200741621444227,24
2,2,24,0,none,0,0.9166666865348816,0.8917176127433777,0.0,0.0,0.0,0.5,1,0.5,1.0,0.047973251645298046,0.9856080245064105,0.9832093619241457,0.9832093619241457,0.0,0.0,0.0,0,0,0.5949628085772436,24
2,2,29,0,none,0,0.8333333134651184,0.8947666883468628,0.0,0.03928371146321297,0.8660253882408142,0.4,2,0.45,0.9,0.1288077412316759,0.8913576776304972,0.8549172905689134,0.8549172905689134,0.0,0.0,0.0,1,0,0.4980040446998374,24
2,3,4,0,none,0,0.9166666865348816,0.9071054458618164,0.0,0.07856742292642593,0.0,0.6000000000000001,0,0.55,1.0,0.08326278230167572,0.9750211653094972,0.9708580261944135,0.9708580261944135,0.0,0.0,0.0,0,0,0.6162574078583241,12
2,3,10,0,none,0,0.9166666865348816,0.9161506295204163,0.0,0.0,0.0,0.55,1,0.55,1.0,0.07257487455877427,0.9782275376323677,0.974598793904429,0.974598793904429,0.0,0.0,0.0,0,0,0.6173796381713287,12
2,3,12,0,none,0,0.9166666865348816,0.913336992263794,0.0,0.0,0.0,0.6000000000000001,1,0.6000000000000001,1.0,0.013847114914784131,0.9958458655255646,0.9951535097798255,0.9951535097798255,0.0,0.0,0.0,0,0,0.6485460529339476,12
2,3,15,0,grayhole,1,0.5833333134651184,0.844164252281189,0.0,0.1178511306643486,1.0,0.55,0,0.5,0.6,0.1928967709497244,0.6621309687150827,0.5324861301675965,0.5324861301675965,0.0,0.0,0.0,0,1,0.43674583726213956,12
2,3,25,0,none,0,0.9166666865348816,0.8986284136772156,0.0,0.0,0.0,0.5,2,0.55,1.0,0.11731437802293482,0.9648056865931195,0.9589399676919728,0.9589399676919728,0.0,0.0,0.0,0,0,0.6126819903075919,12
2,3,28,0,grayhole,1,0.4166666567325592,0.8468603491783142,0.0,0.03928371146321297,0.0,0.55,1,0.55,0.4,0.2195420693420003,0.5141373791973999,0.32316027573029993,0.32316027573029993,0.0,0.0,0.0,0,1,0.45494808271908993,12
2,4,3,0,none,0,0.9166666865348816,0.9126919507980347,0.0,0.03928371146321297,0.0,0.6000000000000001,1,0.6000000000000001,1.0,0.06539002408825187,0.9803829927735244,0.9771134915691119,0.9771134915691119,0.0,0.0,0.0,0,0,0.6431340474707335,3
2,4,10,0,none,0,0.8333333134651184,0.9082609415054321,0.0,0.03928371146321297,0.0,0.5,1,0.5,0.9,0.11832868052013247,0.8945013958439603,0.8585849618179536,0.8585849618179536,0.0,0.0,0.0,0,0,0.5630754885453861,3
2,4,12,0,none,0,0.9166666865348816,0.915973424911499,0.0,0.0,0.0,0.5,0,0.45,1.0,0.09198765223833784,0.9724037043284985,0.9678043217165817,0.9678043217165817,0.0,0.0,0.0,1,0,0.5653412965149744,3
2,4,15,0,grayhole,1,0.6666666865348816,0.8912795186042786,0.0,0.06804138422012329,0.8660253882408142,0.4,0,0.35000000000000003,0.7,0.13237372399717973,0.750287882800846,0.6536691966009871,0.6536691966009871,0.0,0.0,0.0,1,1,0.3986296165094595,3
2,4,33,0,none,0,0.9166666865348816,0.9111655950546265,0.0,0.03928371146321297,1.0,0.5,2,0.55,1.0,0.040732539102173775,0.9877802382693478,0.9857436113142392,0.9857436113142392,0.0,0.0,0.0,0,0,0.5757230816061324,3
2,4,38,0,none,0,0.9166666865348816,0.9012474417686462,0.0,0.0,0.0,0.6000000000000001,0,0.55,1.0,0.09536509721190457,0.9713904708364286,0.9666222159758334,0.9666222159758334,0.0,0.0,0.0,0,0,0.61498666479275,3
2,5,6,0,none,0,0.9166666865348816,0.9210395216941833,0.0,0.0,0.0,0.5,0,0.45,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,0,0.575,18
2,5,9,0,none,0,0.9166666865348816,0.9148030281066895,0.0,0.03928371146321297,0.0,0.55,2,0.6000000000000001,1.0,0.05447237069983075,0.9836582887900507,0.9809346702550592,0.9809346702550592,0.0,0.0,0.0,0,0,0.6442804010765177,18
